Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RST1",SW_SPST_TL3342,2,SW_Push,
"C1, C10, C2, C3, C6",0402,5,1u,
"C11, C12",0402,2,22p,
"C13, C14, C15, C16, C4, C7, C8, C9",0402,8,100n,
C5,0603,1,10u,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D9",D_SOD-123,86,D_Small,
F1,1206,1,Fuse_Small,
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J3,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX43, MX44, MX46, MX47, MX49, MX5, MX50, MX51, MX52, MX53, MX54, MX55, MX56, MX57, MX58, MX59, MX6, MX60, MX61, MX62, MX63, MX64, MX65, MX66, MX67, MX68, MX69, MX7, MX70, MX71, MX72, MX73, MX75, MX76, MX8, MX80, MX81, MX82, MX83, MX84, MX85, MX86, MX9",SW_MX_HS_CPG151101S11_1u,79,MX_SW_HS,
"MX32, MX45",SW_MX_HS_CPG151101S11_1.5u,2,MX_SW_HS,
"MX48, MX74",SW_MX_HS_CPG151101S11_1.75u,2,MX_SW_HS,
"MX77, MX78, MX79",SW_MX_HS_KS-2P02B01-01_1.25u,3,MX_SW_HS,
"R1, R2",0402,2,5.1k,
"R3, R4, R5",0402,3,5k1,
"R6, R9",0402,2,1k,
"R7, R8",0402,2,27,
S1,STAB_MX_P_2u,1,MX_stab,
"S2, S3",STAB_MX_P_2.25u,2,MX_stab,
S4,STAB_MX_P_6.25u,1,MX_stab,
U1,SOT-23-3,1,XC6206PxxxMR,
U2,SOT-23-6,1,SRV05-4,
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
